 Cluster    1:
(   1.8750342, -11.1386662,  17.0573769)
(  11.8951139, -15.9061899,  34.4520378)
( -18.1196232, -15.7920341,  10.6320581)
( -17.9082870, -13.4691172,  -1.3508157)
(  15.6591797, -23.2280369,  39.0495415)
(  -9.1285944, -36.0090942,   5.0238628)
(  17.3251858, -14.5484152,  -9.4917383)
(  32.9379578, -15.9835672,  21.4535809)
(  28.9557400, -31.7900181,   1.7066391E-02)
(  39.0027084, -17.1883297,   9.9831858)
(  35.9373169,   7.8160481,  19.4738503)
(  31.2885246, -36.8143921,  10.3914957)
(  25.1154022,   9.8235359,  -8.3803053)
(  39.7850418, -23.6861134,   7.1423507)
(  15.1418734, -42.5939789,  -6.1706448)
(  41.8069496,   2.1571047,  27.0875893)
( -35.5231857,  -8.4045029,  -5.8984027)
( -35.6931877, -33.0340462,  23.9558048)
(  40.1639519, -13.7999916,  40.9255981)
(  29.3971424, -21.1275730, -17.7831039)
( -35.6359673, -14.1010523,  -9.4523582)
( -16.5378895, -37.0555687, -16.4139824)
( -19.6931496,   7.4529986, -19.3012562)
( -39.9755554, -27.4059391,  29.7538719)
( -40.9111481, -32.4788361,  16.4100285)
( -19.5293484,   0.8189095, -26.8797035)
(  11.3479023,  16.0545521, -34.3367958)
(  45.2379837,   1.0483843, -22.8799877)
(  37.1441307,   3.1775870, -32.2665520)
( -23.5542984,  19.6899815, -31.1251183)
 Cluster    2:
( -20.8292637,  21.2775364,  32.7485123)
( -20.9541416,  20.8519344,  23.0040569)
( -21.2369022,  29.1901264,  40.7371674)
( -31.2991676,  13.6263618,  40.4851646)
( -27.9998150,  33.6392746,  27.6157818)
( -27.8781490,  36.4042206,  41.1020889)
( -32.4634819,  24.0608711,  16.1448517)
( -19.6812038,   1.0941086,  27.1037579)
( -12.0610275,   8.4364080,  47.9684105)
(  -8.4651051,  29.9584541,  16.7341995)
( -39.4513855,  30.6428032,  46.6151085)
(  -2.7478576,  24.3825626,  13.5988817)
( -31.2558041,  24.1499672,   5.9294066)
( -38.3776932,  -4.1817794,  38.3243408)
( -50.9720535,   7.2566218,  34.0497627)
( -34.5468636,  -0.6012023,  10.8134031)
( -44.2801247,  29.1917820,   8.1422491)
( -41.8644905,  -6.8428831,  35.1593285)
( -11.2945995,  30.8159847,   8.9551955E-03)
( -40.9878273,  22.3807888,   2.5385869)
( -12.0246754,  47.3267632,  57.5912247)
( -18.3505745,  54.5053902,  54.6036301)
( -62.0986366,  18.6563911,  23.8730145)
( -29.0828419,  27.3676929, -11.7166033)
( -66.4545517,  35.7136841,  36.9591904)
( -36.0106812,  23.7322941, -13.0391808)
( -28.5690155,  20.7876453, -21.3961887)
( -53.0803719,  61.9675522,  53.1321907)
( -74.4286652,   4.7039056,  53.8208694)
( -47.6170158,  28.5643997, -22.9979382)
( -46.9606628,  61.1831703,  75.5910721)
( -66.1526794,  26.4176102, -13.9099512)
( -83.8520737,  39.1023102,  31.0305099)
( -61.7850227,  57.0191574,  -5.1999869)
( -78.0144501,  45.1346397,   6.5927634)
( -52.3084526,  84.6549759,  27.2451134)
( -64.4633484,  18.1711273, -27.7068443)
( -49.3810654,  90.3712540,  33.4924049)
( -50.5844040,  64.1087952,  86.7267303)
( -73.2552643,  64.5429840,   0.4446382)
( -76.7516632,  54.9161911,  72.1528473)
( -73.3541031,  40.0988884, -23.6677456)
( -61.9636307,  31.1825600, -34.5224113)
( -62.1567116,  65.0267105, -20.9752541)
( -71.7278061,  71.5661545,  71.7602539)
( -49.5529480,  62.1417656, -31.8632965)
( -78.5886536,  57.7585335,  80.6940689)
( -94.5989609,  30.7661819,  70.7282486)
( -94.8548126,  59.5574379,  22.8998966)
( -80.5535126,  20.2466640, -30.3400993)
( -61.5704498,  94.4344482,  60.1928139)
( -58.9989815,  96.4384232,   4.9554353)
( -87.1493454,  51.9976120,  83.1610260)
( -99.0657959,  46.4462891,  70.6034775)
( -89.4521866,  14.5764818, -29.4241791)
( -70.0081253,  85.6649170, -15.3644304)
( -99.4505081,  44.0708504,  80.9791489)
( -89.8263245,  74.9954758,  -9.4177914)
( -94.6696014,  64.3995819, -13.9546452)
( -91.5835266,  80.7858810,  65.3488770)
( -98.0773697,  79.9892807,   8.2390909)
( -81.5199280,  32.2865181, -48.1156998)
( -85.6402740,  84.6216736, -13.6396828)
( -81.1794815,  94.7681351,  70.3702927)
( -92.7807007,  80.6114655, -10.2450418)
( -97.1044769,  93.5415344,  91.1905594)
 Cluster    3:
(  16.5915375,  52.1706810,  19.9250107)
(  17.2653198,  58.9410400,  41.7250633)
(  39.2557220,  43.2529259,  18.1352329)
(  -4.4696012,  44.8032722,   9.3190479)
(   3.1222284,  32.5611229,   5.1520996)
