    1     1   2.5500000,  17.7999992
    2     1   2.7000000,  17.7000008
    3     1   3.5500000,  17.4500008
    4     1   3.8499999,  17.4500008
    5     1   2.9000001,  16.7500000
    6     1   2.0500000,  15.7500000
    7     1   2.7500000,  15.6000004
    8     1   4.1500001,  17.0000000
    9     1   3.1500001,  18.4500008
   10     1   2.7000000,  17.2500000
   11     1   4.6999998,  15.2500000
   12     1   5.6500001,  17.6000004
   13     1   5.0999999,  17.8999996
   14     1   4.3000002,  16.6499996
   15     1   3.9500000,  16.3500004
   16     1   3.5500000,  15.1000004
   17     1   4.5999999,  13.4499998
   18     1   5.0500002,  14.8999996
   19     1   5.0500002,  16.6000004
   20     1   5.4499998,  17.0499992
   21     1   5.7500000,  16.4500008
   22     1   5.7500000,  15.5500002
   23     1   3.5999999,   9.9499998
   24     1   5.6999998,  14.6499996
   25     1   5.0000000,  14.3999996
   26     1   4.5500002,  14.8500004
   27     1   3.9000001,  15.3500004
   28     1   3.7000000,  15.0500002
   29     1   3.7000000,  14.8000002
   30     1   2.0500000,   3.0999999
   31     1   1.7000000,   3.2500000
   32     1   4.6999998,   2.5999999
   33     1   6.0000000,   3.8499999
   34     1   5.9499998,   4.4499998
   35     1   4.5500002,   4.0999999
   36     1   4.7500000,   3.5500000
   37     1   5.7500000,   3.5000000
   38     1   6.9000001,   0.9500000
   39     1   3.1500001,   2.1500001
   40     1   1.6000000,   3.5999999
   41     1   4.6500001,   2.2500000
   42     1   4.4499998,   4.3000002
   43     1   4.3000002,   4.3000002
   44     1   2.9000001,   3.0000000
   45     1   4.0000000,   2.5000000
   46     1   5.1999998,   1.9500000
   47     1   8.6499996,   4.8499999
   48     1   7.9000001,   5.2500000
   49     1   6.5500002,   2.4000001
   50     1   6.2500000,   1.6000000
   51     1   6.5000000,   4.8000002
   52     1   7.9499998,   3.9000001
   53     1   8.7500000,   2.7000000
   54     1  10.6999998,   4.2500000
   55     1   9.3000002,   1.7000000
   56     1   6.6500001,   1.5000000
   57     1   7.5000000,   2.9500000
   58     1   9.6000004,   2.4000001
   59     1  10.1499996,   2.5500000
   60     1   9.4499998,   3.9500000
   61     1   8.6999998,   2.9000001
   62     1   9.2500000,   1.6000000
   63     1   7.8000002,   1.3500000
   64     1   6.3000002,   2.2500000
   65     1   9.1999998,   2.9000001
   66     1   7.5500002,   2.4000001
   67     1   4.3499999,   1.3000000
   68     1   1.9000000,   2.2000000
   69     1   7.0999999,   2.5999999
   70     1   5.5999999,   2.0000000
   71     1   4.1999998,   0.5500000
   72     1   1.0500000,   1.0000000
   73     1   0.5000000,   1.4000000
   74     1   1.7000000,   1.7000000
   75     1   3.2000000,   1.4500000
   76     1   4.8499999,   1.3000000
   77     1   4.6999998,   1.2000000
   78     1   2.7000000,   0.8500000
   79     1   2.3000000,   0.8500000
   80     1   2.5000000,   4.0000000
   81     1   3.0500000,   4.0999999
   82     1  36.2500000,   8.3000002
   83     1  36.2999992,   8.1999998
   84     1  35.2000008,   6.9499998
   85     1  33.7500000,   6.1999998
   86     1  29.5499992,   5.5999999
   87     1  26.8500004,   5.3499999
   88     1  24.6000004,   6.0000000
   89     1  21.9500008,   7.5000000
   90     1  20.0000000,   8.6499996
   91     1  17.9500008,  11.3999996
   92     1  18.1499996,  13.3500004
   93     1  21.0499992,  15.4499998
   94     1  25.7000008,  16.7999992
   95     1  28.1000004,  17.1000004
   96     1  30.7999992,  17.0000000
   97     1  30.7500000,  17.0000000
   98     1  30.0499992,  17.2500000
   99     1  29.0000000,  17.4500008
  100     1  27.7500000,  17.4500008
  101     1  26.6499996,  17.2000008
  102     1  24.4500008,  17.0000000
  103     1  22.3999996,  16.7500000
  104     1  21.7500000,  16.3999996
  105     1  20.3500004,  15.6000004
